[ 2024-12-05 22:09:50,904 ] asyncio - DEBUG - Using selector: EpollSelector
[ 2024-12-05 22:11:52,258 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 22:11:52,259 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[0:9]
[ 2024-12-05 22:11:52,260 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[10:14]
[ 2024-12-05 22:11:52,260 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 22:11:52,261 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 22:11:52,261 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[15:36]
[ 2024-12-05 22:11:52,261 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[37:47]
[ 2024-12-05 22:11:52,262 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 22:11:52,263 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 22:11:52,263 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[48:66]
[ 2024-12-05 22:11:52,263 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[67:68]
[ 2024-12-05 22:11:52,264 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 22:11:52,264 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 22:11:52,265 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[69:90]
[ 2024-12-05 22:11:52,266 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[91:92]
[ 2024-12-05 22:11:52,266 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 22:11:52,267 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 22:11:52,267 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[93:108]
[ 2024-12-05 22:11:52,268 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[109:114]
[ 2024-12-05 22:11:52,268 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 22:11:52,269 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 22:11:52,269 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[115:135]
[ 2024-12-05 22:11:52,269 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[136:141]
[ 2024-12-05 22:11:52,270 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 22:11:52,270 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 22:11:52,270 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[142:157]
[ 2024-12-05 22:11:52,271 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[158:162]
[ 2024-12-05 22:11:52,271 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 22:11:52,271 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 22:11:52,271 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[163:175]
[ 2024-12-05 22:11:52,272 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[176:181]
[ 2024-12-05 22:11:52,272 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 22:11:52,273 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 22:11:52,273 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[182:200]
[ 2024-12-05 22:11:52,273 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[201:202]
[ 2024-12-05 22:11:52,273 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 22:11:52,274 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2024-12-05 22:11:52,274 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[203:214]
[ 2024-12-05 22:11:52,274 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[215:217]
[ 2024-12-05 22:11:52,275 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2024-12-05 22:11:52,275 ] python_multipart.multipart - DEBUG - Calling on_end with no data
[ 2024-12-05 22:11:52,276 ] root - INFO - Entered get_usvisa_data_as_dict method as USvisaData class
[ 2024-12-05 22:11:52,276 ] root - INFO - Created usvisa data dict
[ 2024-12-05 22:11:52,277 ] root - INFO - Exited get_usvisa_data_as_dict method as USvisaData class
[ 2024-12-05 22:11:52,285 ] root - INFO - Entered predict method of USvisaClassifier class
